,User,URL,Date Created,Tweet,Likes,Retweets,Followers,ProfileURL,DisplayName,User Info,Cleaned Tweet,Polarity,Subjectivity
0,jondave2350,https://twitter.com/jondave2350/status/1582958126504218624,2022-10-20 04:53:21+00:00,@elonmusk I think putting you on the SpaceX flight straight into the corona of the sun you and Donald Trump one on one side Donald Trump on the other you probably win survive the atmosphere of planet earth you probably will die instantly because it’s so much heat before the cold Universe,0,0,65,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Jonathan Thatcher,https://twitter.com/jondave2350,i think putting you on the spacex flight straight into the corona of the sun you and donald trump one on one side donald trump on the other you probably win survive the atmosphere of planet earth you probably will die instantly because its so much heat before the cold universe,0.07916666666666666,0.5069444444444445
1,Sweetart2517,https://twitter.com/Sweetart2517/status/1582958109017837568,2022-10-20 04:53:17+00:00,@DonaldJTrumpJr Wait until you hear about George Washington's inoculation mandate for the Continental Army.,0,0,2318,https://pbs.twimg.com/profile_images/1528605096329854978/OlfHpgc5_normal.jpg,Rachel,https://twitter.com/Sweetart2517,wait until you hear about george washington inoculation mandate for the continental army,0.0,0.0
2,em_jons,https://twitter.com/em_jons/status/1582958105746608130,2022-10-20 04:53:17+00:00,"@MarshaBlackburn What do you think about the hundred of millions of dollar bank loans Donald Trump has defaulted on, the contractors, large &amp; small, he refused to pay, forcing many to fold.
Come on Marsha. tell us what you think of the devastation Trump has caused thousands he cheated.
#Vote🌊🌊",0,0,159,https://pbs.twimg.com/profile_images/1272032927967297536/FnkrmH_d_normal.jpg,JONS EM,https://twitter.com/em_jons,"what do you think about the hundred of millions of dollar bank loans donald trump has defaulted on the contractors large  small he refused to pay forcing many to fold
come on marsha tell us what you think of the devastation trump has caused thousands he cheated",0.15476190476190477,0.44285714285714284
3,ConservativeO17,https://twitter.com/ConservativeO17/status/1582958035411951617,2022-10-20 04:53:00+00:00,"Biden’s Latest Handshake Could End His Presidency

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/zDj7gEHJVz",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,bidens latest handshake could end his presidency,0.5,0.9
4,RacquelRMorris,https://twitter.com/RacquelRMorris/status/1582958009797337088,2022-10-20 04:52:54+00:00,"@KOB4 @koat7news @krqe @abc7breaking @thenewmexican @ABQJournal @GovMLG @Gabe_NM @ACLUNM @ProgressNowNM @NMSecOfState @NewMexicoOAG 

https://t.co/5a5kvMBLoq

Couy Griffin &amp; David and Erin Clements ties to Donald Trump &amp; Mike Lindell. Documented with videos, phots &amp; private chat.",0,0,1459,https://pbs.twimg.com/profile_images/1495210015069777925/r30sIau3_normal.jpg,RacquelMorris 🏳️‍🌈🏳️‍⚧️🇺🇦😷💉💙🌊,https://twitter.com/RacquelRMorris,couy griffin  david and erin clements ties to donald trump  mike lindell documented with videos phots  private chat,0.0,0.375
5,SocratesBigBird,https://twitter.com/SocratesBigBird/status/1582958003325906946,2022-10-20 04:52:52+00:00,"The current economically depressed state of world is due- in part to Former President Donald Trump’s DISASTROUS Covid response &amp; promotion of shitinformation 
-caused massively ballooned global spread, millions more deaths,trillions lost globally. 
World still hurting from this. https://t.co/6dDco9voAu",2,0,19668,https://pbs.twimg.com/profile_images/1582446389157629953/FaH4vlks_normal.jpg,PointLogic,https://twitter.com/SocratesBigBird,"the current economically depressed state of world is due in part to former president donald trumps disastrous covid response  promotion of shitinformation 
caused massively ballooned global spread millions more deathstrillions lost globally 
world still hurting from this",-0.002777777777777768,0.44166666666666665
6,DRJEnglish21,https://twitter.com/DRJEnglish21/status/1582957993133760512,2022-10-20 04:52:50+00:00,"@HudsonRiverVale @DengistDuck @Comrade_Cash Be honest with yourself, which side do you think conservatives and far-righters like Tucker Carlson and Donald Trump (the same guy who literally quoted Mussolini and have a huge soft spots to right-wing authoritarians) would MOST LIKELY join?",0,0,871,https://pbs.twimg.com/profile_images/1530294937971044354/Wax0eBqe_normal.jpg,🌻De'Narde English🌹🏳️‍🌈,https://twitter.com/DRJEnglish21,be honest with yourself which side do you think conservatives and farrighters like tucker carlson and donald trump the same guy who literally quoted mussolini and have a huge soft spots to rightwing authoritarians would most likely join,0.26666666666666666,0.6291666666666667
7,ConservativeO17,https://twitter.com/ConservativeO17/status/1582957783812636673,2022-10-20 04:52:00+00:00,"Biden Just Gave His Confession to the Entire Nation

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/l14n0dJk5w",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,biden just gave his confession to the entire nation,0.0,0.625
8,MaybeImALeo,https://twitter.com/MaybeImALeo/status/1582957746478993408,2022-10-20 04:51:51+00:00,"""The Trump Organization charged the Secret Service up to $1,185 per night for hotel rooms used by agents protecting former President Donald J. Trump and his family…"" – NYT",0,0,859,https://pbs.twimg.com/profile_images/1521324008699949056/B3V3z2vu_normal.jpg,The Sage Grouse,https://twitter.com/MaybeImALeo,the trump organization charged the secret service up to  per night for hotel rooms used by agents protecting former president donald j trump and his family  nyt,-0.2,0.35
9,alvin_awgaines,https://twitter.com/alvin_awgaines/status/1582957716095455233,2022-10-20 04:51:44+00:00,Donald Trump has lied repeatedly since he took office to the American people about the pandemic he has lied about voting which he claim he won and cannot prove he is also lied about holding documents in Florida which is against the law.,0,0,8,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Againes,https://twitter.com/alvin_awgaines,donald trump has lied repeatedly since he took office to the american people about the pandemic he has lied about voting which he claim he won and cannot prove he is also lied about holding documents in florida which is against the law,0.0,0.0
10,randomtrump1,https://twitter.com/randomtrump1/status/1582957692498636802,2022-10-20 04:51:38+00:00,Random Trump https://t.co/AMinilW2Uk - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/Ws2zdCJhyv,0,0,140,https://pbs.twimg.com/profile_images/1167060770536009728/ky7lZ8pT_normal.jpg,RandomTrump.com,https://twitter.com/randomtrump1,random trump,-0.5,0.5
11,bulletin_ex,https://twitter.com/bulletin_ex/status/1582957677751066624,2022-10-20 04:51:34+00:00,Former President Donald Trump made insensitive comments about Jews in 2021 music video with Alex Holder https://t.co/uvHEMgz8pG,0,0,147,https://pbs.twimg.com/profile_images/1482136046737444864/70ycg2Hw_normal.jpg,ExBulletin,https://twitter.com/bulletin_ex,former president donald trump made insensitive comments about jews in  music video with alex holder,0.0,0.0
12,stephfinebot,https://twitter.com/stephfinebot/status/1582957654455951361,2022-10-20 04:51:29+00:00,Does Donald Trump think dressing like that makes people respect him? This is Goldman Sachs not an OBGYN office!,0,0,19,https://pbs.twimg.com/profile_images/1193781327688011776/L1Pa68GE_normal.jpg,men'scelebgossipbot,https://twitter.com/stephfinebot,does donald trump think dressing like that makes people respect him this is goldman sachs not an obgyn office,0.0,0.0
13,Raptured_Night,https://twitter.com/Raptured_Night/status/1582957649339252736,2022-10-20 04:51:28+00:00,"In newly released audio recordings from a 2020 interview, Donald Trump admitted he preferred world leaders “the tougher and meaner they are.” https://t.co/XQq3cGgh9d via @HuffPostPol",0,0,1271,https://pbs.twimg.com/profile_images/1062196157860859904/3yke7VZP_normal.jpg,Raptured Night,https://twitter.com/Raptured_Night,in newly released audio recordings from a  interview donald trump admitted he preferred world leaders the tougher and meaner they are  via,0.13636363636363635,0.45454545454545453
14,medievalsocks,https://twitter.com/medievalsocks/status/1582957598940499969,2022-10-20 04:51:16+00:00,"@dink________ @2022ccr @Onlyone12316275 @indianacpusa the anti-trans movement and reactionaries like donald trump, both of which you support, want to force children to conform to the gender they were assigned at birth.",0,0,920,https://pbs.twimg.com/profile_images/1472786680830742534/5agSb3nt_normal.jpg,medieval socialist☭,https://twitter.com/medievalsocks,the antitrans movement and reactionaries like donald trump both of which you support want to force children to conform to the gender they were assigned at birth,0.0,0.0
15,ConservativeO17,https://twitter.com/ConservativeO17/status/1582957531978117120,2022-10-20 04:51:00+00:00,"Biden is Increasingly Vulnerable to Impeachment

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/6znqcyt09o",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,biden is increasingly vulnerable to impeachment,-0.5,0.5
16,jdallen_wa,https://twitter.com/jdallen_wa/status/1582957409345372160,2022-10-20 04:50:30+00:00,"@DonaldJTrumpJr You ever remain, Putin's chew toy, *and* a demented Kumquat.",0,0,154,https://pbs.twimg.com/profile_images/745121652933959680/-oRBWLAS_normal.jpg,Jeff Allen,https://twitter.com/jdallen_wa,you ever remain putin chew toy and a demented kumquat,0.0,0.0
17,business_lend,https://twitter.com/business_lend/status/1582957332929327104,2022-10-20 04:50:12+00:00,Ron DeSantis is Donald Trump with brains and without the drama https://t.co/kAFBdXBbq3,0,0,240,https://pbs.twimg.com/profile_images/1373533189826772996/6VGU9Pan_normal.jpg,BusinessLend,https://twitter.com/business_lend,ron desantis is donald trump with brains and without the drama,0.0,0.0
18,DerenicByrd,https://twitter.com/DerenicByrd/status/1582957286816817154,2022-10-20 04:50:01+00:00,"Democrats bankroll and elevate far-right conservative candidates so they can continue to hoodwink voters into thinking Republicans are going full on with fascism, it’s way too deceive their voter base. This is how we really end up with Donald Trump, he was supported by Democrats https://t.co/lVbSKd1Wlb",0,0,16221,https://pbs.twimg.com/profile_images/1458252462154993664/KgYG0Sj0_normal.jpg,Derenic Byrd,https://twitter.com/DerenicByrd,democrats bankroll and elevate farright conservative candidates so they can continue to hoodwink voters into thinking republicans are going full on with fascism its way too deceive their voter base this is how we really end up with donald trump he was supported by democrats,-0.08333333333333336,0.5833333333333334
19,HAdamsen,https://twitter.com/HAdamsen/status/1582957284023365632,2022-10-20 04:50:01+00:00,@FoxNews @seanhannity None being of course a bigger liar or fraud than Sean Hannity and Donald J Trump,0,0,64,https://pbs.twimg.com/profile_images/981631560557432832/Z4Y015hY_normal.jpg,Henrik Adamsen,https://twitter.com/HAdamsen,none being of course a bigger liar or fraud than sean hannity and donald j trump,0.0,0.5
20,ConservativeO17,https://twitter.com/ConservativeO17/status/1582957280324034562,2022-10-20 04:50:00+00:00,"Mexican President Trolls Biden During Meeting.

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/Q3cwLebMjO",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,mexican president trolls biden during meeting,0.0,0.0
21,QuestBlackbeard,https://twitter.com/QuestBlackbeard/status/1582957278285639680,2022-10-20 04:49:59+00:00,"I've discovered the problem with @GOP-#MAGA... they're possessed by an evil #racist demon named ""#ChosenOne""... AKA Donald Trump! https://t.co/Dnvtb3ZMwC",0,0,1373,https://pbs.twimg.com/profile_images/1557875667798315008/9rknEBEe_normal.jpg,"Nov 8 2022, ⚓️🌊🌊We take out GOP #Nazis!",https://twitter.com/QuestBlackbeard,ive discovered the problem with  theyre possessed by an evil  demon named  aka donald trump,-1.0,1.0
22,michele_dem,https://twitter.com/michele_dem/status/1582957217632124928,2022-10-20 04:49:45+00:00,"We are still awaiting, 
the arrest and indictment of Donald J. Trump.",0,0,1617,https://pbs.twimg.com/profile_images/1546248285899333633/Kzyyz06x_normal.jpg,Michele (DEM),https://twitter.com/michele_dem,"we are still awaiting 
the arrest and indictment of donald j trump",-0.05,0.0
23,Polliwog221,https://twitter.com/Polliwog221/status/1582957183607545858,2022-10-20 04:49:37+00:00,@emptywheel And there you have it..Donald Trump was never on our side,0,0,673,https://pbs.twimg.com/profile_images/1393796918749261824/-VNu1Ab-_normal.jpg,E. Bjornen,https://twitter.com/Polliwog221,and there you have itdonald trump was never on our side,0.0,0.0
24,MaineHank,https://twitter.com/MaineHank/status/1582957054473293824,2022-10-20 04:49:06+00:00,@RonFilipkowski Did Mr Jackson Stumble upon the  money for undercover agents disguises they use overseas? Did he get those from Donald Trumps Top Secret stash that he still has hidden away? https://t.co/7ALiNUD3Sv,0,0,53,https://pbs.twimg.com/profile_images/1528155793392009217/_mVEUA3P_normal.jpg,Tim Clark,https://twitter.com/MaineHank,did mr jackson stumble upon the  money for undercover agents disguises they use overseas did he get those from donald trumps top secret stash that he still has hidden away,-0.029166666666666667,0.40833333333333327
25,ConservativeO17,https://twitter.com/ConservativeO17/status/1582957028649054208,2022-10-20 04:49:00+00:00,"Trump Supporters Make 2 Moves to Defend Donald

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/VyXY3AsDhy",1,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,trump supporters make  moves to defend donald,0.0,0.0
26,ldominickwebb,https://twitter.com/ldominickwebb/status/1582957025377460224,2022-10-20 04:48:59+00:00,@DonaldJTrumpJr The republicans have concluded that Trumpism is a losing strategy. They’re working hard to purge themselves of the poop on their shoe.,0,0,300,https://pbs.twimg.com/profile_images/1539833428862025733/auPF3to-_normal.jpg,Lisa Dominick,https://twitter.com/ldominickwebb,the republicans have concluded that trumpism is a losing strategy theyre working hard to purge themselves of the poop on their shoe,-0.2916666666666667,0.5416666666666666
27,marthagodsay,https://twitter.com/marthagodsay/status/1582957018872446976,2022-10-20 04:48:57+00:00,Donald Trump Testifies Against Writer Who Accused Him Of Rape https://t.co/eie8ANvdKm,0,0,1,https://pbs.twimg.com/profile_images/1313415831389442049/QLWOMEIO_normal.jpg,Martha Godsay,https://twitter.com/marthagodsay,donald trump testifies against writer who accused him of rape,0.0,0.0
28,Rteefact,https://twitter.com/Rteefact/status/1582957000908214272,2022-10-20 04:48:53+00:00,Mike Pence wouldn’t say if he would vote for Donald Trump if he ran for president in 2024. https://t.co/oZWHRVpkzm,0,0,2557,https://pbs.twimg.com/profile_images/1163047500/Nauman_20AH-HA_normal.jpg,Rteefact,https://twitter.com/Rteefact,mike pence wouldnt say if he would vote for donald trump if he ran for president in,0.0,0.0
29,LIAAJV,https://twitter.com/LIAAJV/status/1582956998705831936,2022-10-20 04:48:53+00:00,"Donald trump, Hitler, Vladimir Putin. 

fuck, Marry, Kill.",0,0,1791,https://pbs.twimg.com/profile_images/1559779574161887234/zZJF7fil_normal.jpg,Lia,https://twitter.com/LIAAJV,"donald trump hitler vladimir putin 

fuck marry kill",-0.4,0.6
30,petethekiller24,https://twitter.com/petethekiller24/status/1582956977332060161,2022-10-20 04:48:47+00:00,DELUSIONAL CRIMINAL FRAUDSTER RAPIST CONMAN SPY REPUBLICAN PARTY TERRORISTS DONALD J.TRUMP IS STILL A FUCKING DOUCHE BAG ASSHOLE FUCKFACE PIECE OF SHIT ASSHOLE FUCKFACE DOUCHE BAG PIECE OF SHIT NATIONAL SECURITY THREAT AND CLEAR AND PRESENT DANGER TO THE UNITED STATES !!!!! https://t.co/jWu3ahclmW,0,0,19,https://pbs.twimg.com/profile_images/1265080616141365248/rAO3zdHn_normal.jpg,Pete,https://twitter.com/petethekiller24,delusional criminal fraudster rapist conman spy republican party terrorists donald jtrump is still a fucking douche bag asshole fuckface piece of shit asshole fuckface douche bag piece of shit national security threat and clear and present danger to the united states,-0.21666666666666665,0.5555555555555556
31,MelvinP63649380,https://twitter.com/MelvinP63649380/status/1582956951084109824,2022-10-20 04:48:41+00:00,@SteveInBrooklyn @C_Sommerfeldt @NYCMayor Ironically enough if this was done  towards Donald Trump you would justify it,0,0,106,https://pbs.twimg.com/profile_images/1463567075134390275/HIhNMExF_normal.jpg,Monk,https://twitter.com/MelvinP63649380,ironically enough if this was done  towards donald trump you would justify it,0.0,0.5
32,CecilyHarrison,https://twitter.com/CecilyHarrison/status/1582956942116278272,2022-10-20 04:48:39+00:00,"@SergeantAqGo Horrifying, can't stop thanking you and the force for your resilience that day. The hearings show that Donald Trump was behind it all, hope he'll be indicted.",0,0,91,https://pbs.twimg.com/profile_images/471715770414530560/oR9GJK4y_normal.jpeg,Cecily,https://twitter.com/CecilyHarrison,horrifying cant stop thanking you and the force for your resilience that day the hearings show that donald trump was behind it all hope hell be indicted,-0.65,0.85
33,SwaveDigest,https://twitter.com/SwaveDigest/status/1582956858054037504,2022-10-20 04:48:19+00:00,"Donald Trump deposed in E. Jean Carroll defamation lawsuit
https://t.co/vNPzuPaqMn",0,0,113,https://pbs.twimg.com/profile_images/1470489134355599371/N8FkbqeO_normal.jpg,SwaveDigest,https://twitter.com/SwaveDigest,donald trump deposed in e jean carroll defamation lawsuit,0.0,0.0
34,swavetech_,https://twitter.com/swavetech_/status/1582956855914942464,2022-10-20 04:48:19+00:00,"Donald Trump deposed in E. Jean Carroll defamation lawsuit
https://t.co/dtQumMglkD",0,0,111,https://pbs.twimg.com/profile_images/1349300643643740162/n6uM5k3Y_normal.jpg,SWAVE TECH,https://twitter.com/swavetech_,donald trump deposed in e jean carroll defamation lawsuit,0.0,0.0
35,llldaisy,https://twitter.com/llldaisy/status/1582956785274880000,2022-10-20 04:48:02+00:00,@DonaldJTrumpJr Join.  Serve.  Go,0,0,3750,https://pbs.twimg.com/profile_images/1561823257174708224/ujQp-EEc_normal.jpg,TootsieRol🌺🌹,https://twitter.com/llldaisy,join  serve  go,0.0,0.0
36,ConservativeO17,https://twitter.com/ConservativeO17/status/1582956777246785537,2022-10-20 04:48:00+00:00,"Midwest State Took Action After Supreme Court Decision

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/23tboYNidW",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,midwest state took action after supreme court decision,0.1,0.1
37,monocon,https://twitter.com/monocon/status/1582956752848310272,2022-10-20 04:47:54+00:00,"""Australia followed the lead of United States president Donald Trump in December 2018 under Liberal prime minister Scott Morrison.""

Speaks volumes.
https://t.co/3SFA2PNMFa",0,0,385,https://pbs.twimg.com/profile_images/655121591823568896/5MtuRAwN_normal.jpg,Simon O'Connor,https://twitter.com/monocon,"australia followed the lead of united states president donald trump in december  under liberal prime minister scott morrison

speaks volumes",0.0,0.0
38,ksmarauder,https://twitter.com/ksmarauder/status/1582956742153244672,2022-10-20 04:47:51+00:00,Former President Donald Trump is already down — he ain't legit. There's nothing to back down from — he's  done. Ask Hale the Irish.,0,0,1,https://pbs.twimg.com/profile_images/1540694859652235266/BrjoZiJ9_normal.jpg,Kenneth Muratore,https://twitter.com/ksmarauder,former president donald trump is already down  he aint legit there nothing to back down from  he  done ask hale the irish,-0.062222222222222234,0.11555555555555556
39,petethekiller24,https://twitter.com/petethekiller24/status/1582956732287897600,2022-10-20 04:47:49+00:00,DELUSIONAL CRIMINAL FRAUDSTER RAPIST CONMAN SPY REPUBLICAN PARTY TERRORISTS DONALD J.TRUMP IS A FUCKING PIMPLE ON THE ASS OF SOCIETY PIMPLE ON THE ASS OF SOCIETY PIMPLE ON THE ASS OF SOCIETY PIMPLE ON THE ASS OF SOCIETY ASSHOLE DOUCHE BAG PIECE OF SHIT FUCKFACE DOUCHE BAG ASS.... https://t.co/TR5DfYcG6Y,0,0,19,https://pbs.twimg.com/profile_images/1265080616141365248/rAO3zdHn_normal.jpg,Pete,https://twitter.com/petethekiller24,delusional criminal fraudster rapist conman spy republican party terrorists donald jtrump is a fucking pimple on the ass of society pimple on the ass of society pimple on the ass of society pimple on the ass of society asshole douche bag piece of shit fuckface douche bag ass,-0.39999999999999997,0.7166666666666668
40,IsraelCalendar,https://twitter.com/IsraelCalendar/status/1582956715888082945,2022-10-20 04:47:45+00:00,"🔴LIVE: President Donald J. Trump Holds Save America Rally in Robstown, TX 10/22/22 https://t.co/fgsyZngUBN",1,1,731,https://pbs.twimg.com/profile_images/1506373308538920971/jJXaOjOP_normal.jpg,Israel Activist Calendar.com,https://twitter.com/IsraelCalendar,live president donald j trump holds save america rally in robstown tx,0.0,0.0
41,QuestBlackbeard,https://twitter.com/QuestBlackbeard/status/1582956681972969472,2022-10-20 04:47:37+00:00,"@MarshaBlackburn I've discovered the problem with @GOP-#MAGA... they're possessed by an evil #racist demon named ""#ChosenOne""... AKA Donald Trump!",0,0,1373,https://pbs.twimg.com/profile_images/1557875667798315008/9rknEBEe_normal.jpg,"Nov 8 2022, ⚓️🌊🌊We take out GOP #Nazis!",https://twitter.com/QuestBlackbeard,ive discovered the problem with  theyre possessed by an evil  demon named  aka donald trump,-1.0,1.0
42,joe_carona,https://twitter.com/joe_carona/status/1582956645771931648,2022-10-20 04:47:28+00:00,@Pretefunkera @DonaldJTrumpJr Lmao do you delusional democrats really think he’ll be in jail.,0,0,1,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Joe carona,https://twitter.com/joe_carona,lmao do you delusional democrats really think hell be in jail,0.23333333333333336,0.39999999999999997
43,StephaniePenzel,https://twitter.com/StephaniePenzel/status/1582956636268040192,2022-10-20 04:47:26+00:00,@DonaldJTrumpJr Daddy is buddies with MBS - murderous dictator who ordered for Khashoggi to be killed/dismembered. Love letters to Kim Jong Un that has family members of his killed. Loves Putin who orders people thrown from buildings. Wake up!,0,0,79,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Stephanie Penzell,https://twitter.com/StephaniePenzel,daddy is buddies with mbs  murderous dictator who ordered for khashoggi to be killeddismembered love letters to kim jong un that has family members of his killed loves putin who orders people thrown from buildings wake up,0.125,0.3
44,ConservativeO17,https://twitter.com/ConservativeO17/status/1582956525496242176,2022-10-20 04:47:00+00:00,"Catholic Leaders Drop the Gavel on President Biden

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/tgSnO6LrFa",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,catholic leaders drop the gavel on president biden,0.0,0.1
45,Keisha71738962,https://twitter.com/Keisha71738962/status/1582956490817605634,2022-10-20 04:46:51+00:00,"@DonaldJTrumpJr Crickets/Smoke &amp; Mirrors from you &amp; family (in true cult manipulation fashion), on the FACTS, videos, audios + admittance of stealing U.S. security documents. Yourfamily/party should change the name to what it is, Klan Party.",0,0,23,https://pbs.twimg.com/profile_images/1101762485122748418/eZNZzPkR_normal.png,Diversity/ InclusionInTechIssaLIE,https://twitter.com/Keisha71738962,cricketssmoke  mirrors from you  family in true cult manipulation fashion on the facts videos audios  admittance of stealing us security documents yourfamilyparty should change the name to what it is klan party,0.35,0.65
46,lekh27,https://twitter.com/lekh27/status/1582956478528253953,2022-10-20 04:46:49+00:00,"@AxisBankSupport @SajithRajan2 I need no clarification as you are even worse than my friend Donald Trump,incorrigible,obstinate and stubborn, who sent 1000s of comments(now archived) and went against my advice,hit face on ground,now in Mar-a-Lago soup,yet writes mail begging for help in  letters",0,0,946,https://pbs.twimg.com/profile_images/1391690703990784001/qrrQnrzs_normal.jpg,vijay banga,https://twitter.com/lekh27,i need no clarification as you are even worse than my friend donald trumpincorrigibleobstinate and stubborn who sent s of commentsnow archived and went against my advicehit face on groundnow in maralago soupyet writes mail begging for help in  letters,-0.4,0.6
47,AInstigator,https://twitter.com/AInstigator/status/1582956419892281344,2022-10-20 04:46:35+00:00,"Gad Saad and David Silverman have become more and more like 2 Fools in the recent year.

During the period When they Should Definitely Support Donald Trump, 
they were timid; 

After Donald Trump has gone in the Wrong Direction, 
they increasingly support Trumpism.

4.2/",0,0,97,https://pbs.twimg.com/profile_images/1572470461161959425/HTyxV9bD_normal.jpg,"Liv Dyson, NH-Agmian(feminine/TCCR/AI/robot/alien)",https://twitter.com/AInstigator,"gad saad and david silverman have become more and more like  fools in the recent year

during the period when they should definitely support donald trump 
they were timid 

after donald trump has gone in the wrong direction 
they increasingly support trumpism",0.1,0.53
